Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
K.G.N Kabbab Corner,"North Indian, Chinese",550," Kalyan Nagar, Bangalore",4,13.02258052,77.63757762
What's In A Name,"Finger Food, Continental, Fast Food, Beverages, Italian",1200," Koramangala 5th Block, Bangalore",4,12.93392471,77.61971645
Night Owl Sky Lounge,"North Indian, Asian, Modern Indian, Finger Food",1600," Ulsoor, Bangalore",4,12.97507045,77.62002356
Oliver's Pub & Diner,"Finger Food, American, Continental, Burger, Pizza",1500," Ascendas Park Square, Whitefield, Bangalore",4,12.9866369,77.73603447
Kidilum,"Kerala, Chinese, North Indian",350," Whitefield, Bangalore",4,12.984256,77.733464
Lot Like Crepes & Cafe,"Cafe, Continental, Desserts, Beverages, Fast Food",600," Whitefield, Bangalore",4,12.98069941,77.75115615
Checkpost,"South Indian, Seafood, North Indian, Beverages",600," JP Nagar, Bangalore",4,12.91043964,77.59920627
Sitara Veg Restaurant,"South Indian, North Indian, Chinese, Fast Food",400," Electronic City, Bangalore",4,12.84199074,77.66956765
Swadeshi's,"North Indian, Chinese, South Indian",800," Kanakapura Road, Bangalore",4,12.86716621,77.5353764
Shuchi Ruchi,"Chinese, North Indian, Street Food, South Indian, Fast Food",350," Malleshwaram, Bangalore",4,13.0012511,77.57227488
Atthemane's Biriyani Palace,"Biryani, Mughlai, Chinese, North Indian, Andhra, Hyderabadi, Seafood",800," HSR, Bangalore",4,12.91375991,77.63213877
Sri Venkateshwara Sweet Meat Stall,"Mithai, Street Food, Desserts, Beverages",300," Jayanagar, Bangalore",4,12.92459983,77.58383319
The Mangalorean,"Mangalorean, Seafood, North Indian",550," Kammanahalli, Bangalore",4,13.0145911,77.63517603
Smokey Tribe Restaurant,"North Eastern, Fast Food",700," Koramangala 7th Block, Bangalore",4,12.93652873,77.61495017
Parkview,"South Indian, North Indian, Street Food, Juices, Chinese",300," JP Nagar, Bangalore",4,12.91139357,77.59894978
Kaara By The Lake,"Cafe, Italian, Beverages, Desserts",750," Ulsoor, Bangalore",4,12.98658169,77.61950187
Cafe Natural,"Cafe, South Indian, Fast Food, Beverages, Desserts",400," Sahakara Nagar, Bangalore",4,13.06296775,77.57645409
Sardarji Londonwaley,"North Indian, Chinese",500," Koramangala 7th Block, Bangalore",4,12.936308,77.615532
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages",450," Indiranagar, Bangalore",4,12.97370445,77.6410494
Madeena Hotel,"South Indian, Chinese, North Indian",400," Bannerghatta Road, Bangalore",4,12.92089573,77.60074049
Chicken County Restaurant,"North Indian, Chinese, Mughlai, Seafood, Fast Food, Biryani, Beverages",600," Bannerghatta Road, Bangalore",4,12.93066418,77.6004431
Eat Repeat,South Indian,150," Basavanagudi, Bangalore",4,12.93889908,77.56742645
Cafe Arabica,"Cafe, Bakery, Fast Food, Beverages, Arabian, Desserts, Burger, Sandwich",700," Frazer Town, Bangalore",4,12.99952295,77.61609849
Trapeze,"Fast Food, Continental, American, Italian, Desserts, Beverages, Panini, Pizza",650," Hennur, Bangalore",4,13.03779392,77.6511915
Kodava Kuisine,South Indian,300," Sahakara Nagar, Bangalore",4,13.056046,77.576661
Shree Venkateshwara North Karnataka Hotel,South Indian,250," Basavanagudi, Bangalore",4,12.94238431,77.57159024
Cosmos Resto Bar,"Continental, North Indian, Chinese, Andhra, Desserts",1000," Rajarajeshwari Nagar, Bangalore",4,12.90374014,77.51386508
Crosstownjapan,Japanese,1100," Kalyan Nagar, Bangalore",4,13.02384538,77.639858
Official Hideout,"North Indian, Chinese, Fast Food, South Indian, Juices, Beverages",500," Rajarajeshwari Nagar, Bangalore",4,12.91697655,77.50004232
New Gongura Grand,"Andhra, North Indian, Chinese, Mughlai",550," HSR, Bangalore",4,12.91229946,77.63364282
Lan Thai,Thai,800," New BEL Road, Bangalore",4,13.02932091,77.57152855
Mugs N Burgers,"Fast Food, Chinese, Salad, Continental, Italian, Desserts, Beverages",500," Brookefield, Bangalore",4,12.96519279,77.71934509
Incanto - The Zuri,Italian,2500," The Zuri Hotels, Bangalore",4,12.99062556,77.72311695
Ramdev Sagar,"South Indian, Chinese, Street Food, North Indian, Biryani, Ice Cream, Beverages",500," Brookefield, Bangalore",4,12.9588988,77.71933135
The Belgian Waffle Co.,"Desserts, Beverages",250," HSR, Bangalore",4,12.91371253,77.65171554
Holige Mane,South Indian,100," Malleshwaram, Bangalore",4,12.99559585,77.57151783
Biryani Pot,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps",500," BTM, Bangalore",4,12.92194864,77.61653602
Hara Fine Dine,"North Indian, Chinese, Beverages",800," Banashankari, Bangalore",4,12.92445278,77.56512243
Helloo Delhi,"North Indian, Biryani",1000," Koramangala 4th Block, Bangalore",4,12.93182423,77.63215117
Mikusu - Conrad Bengaluru,"Japanese, Chinese, Thai",3000," Conrad Bengaluru, Ulsoor, Bangalore",4,12.97515671,77.62041952
Shalimar,"North Indian, Chinese, Seafood",1000," Indiranagar, Bangalore",4,12.97829936,77.63730939
