index_right,restaurant_count,avg_pricing,avg_rating,categories
43.0,24.0,412.5,3.725,"Chinese, Italian, Asian, Continental, Biryani, South Indian, South Indian, Chinese, Biryani, North Indian, Biryani, Kebab, Chinese, North Indian, South Indian, North Indian, Mughlai, Chinese, Chinese, North Indian, Andhra, Kebab, Beverages, Fast Food, Street Food, South Indian, North Indian, South Indian, Mithai, Chinese, Biryani, Mughlai, North Indian, Seafood, South Indian, Street Food, Chinese, South Indian, Street Food, North Indian, Chinese, Seafood, Mughlai, Desserts, Beverages, Beverages, Juices, Street Food, Chinese, Sandwich, Ice Cream, Desserts, North Indian, Chinese, Fast Food, Sandwich, Pizza, Beverages, Bakery, Desserts, Fast Food, North Indian, Chinese, North Indian, Biryani, South Indian, Biryani, Chinese, North Indian, Kebab, Biryani"
44.0,9.0,433.3333333333333,3.5555555555555554,"Mangalorean, Seafood, South Indian, Chinese, North Indian, South Indian, Chinese, Maharashtrian, Street Food, Desserts, Ice Cream, Beverages, Juices, Beverages, Fast Food, Chinese, South Indian, North Indian, Ice Cream, Beverages, South Indian, Andhra, Chinese, North Indian, Desserts, Ice Cream, Street Food, Burger, Fast Food, Chinese, North Indian, Mughlai, Seafood, Biryani, Ice Cream, Beverages, Sandwich, Fast Food, Beverages"
45.0,3.0,366.6666666666667,3.6999999999999997,"Biryani, South Indian, South Indian, North Indian, Biryani, North Indian"
46.0,3.0,333.3333333333333,3.766666666666667,"Andhra, Chinese, North Indian, Ice Cream, Desserts, Beverages, South Indian"
47.0,19.0,405.2631578947368,3.6263157894736846,"Biryani, North Indian, South Indian, North Indian, Chinese, Street Food, Desserts, Beverages, Ice Cream, South Indian, North Indian, Biryani, South Indian, Rolls, Chinese, North Indian, Mughlai, North Indian, Street Food, Chinese, Beverages, Fast Food, North Indian, Chinese, Mughlai, Beverages, Chinese, Bakery, Street Food, Chinese, Chinese, North Indian, Kebab, Fast Food, Desserts, Sandwich, Fast Food, Pizza, Italian, Lebanese, Beverages, Chinese, North Indian, Mughlai, Biryani, Mughlai, Fast Food, Beverages, Biryani, North Indian, Mughlai"
48.0,30.0,403.3333333333333,3.5766666666666667,"Pizza, Fast Food, Beverages, Desserts, North Indian, Chinese, Continental, Biryani, Mughlai, Desserts, Beverages, South Indian, South Indian, Biryani, Italian, Fast Food, Pizza, Sandwich, Burger, Desserts, Beverages, South Indian, Biryani, North Indian, Pizza, Fast Food, Pizza, Fast Food, Rolls, Biryani, South Indian, North Indian, Chinese, Kebab, Biryani, Rolls, Chinese, Momos, North Indian, Chinese, South Indian, Momos, Chinese, Biryani, Tamil, Biryani, Burger, Fast Food, Lebanese, North Indian, Chinese, Beverages, North Indian, Mughlai, Chinese, Mangalorean, North Indian, Chinese, Andhra, Biryani, North Indian, South Indian, Chinese, Fast Food, Pizza, Desserts, Beverages, North Indian, South Indian, Chinese, Beverages, North Indian, North Indian, Chinese, Biryani, North Indian, Rolls, South Indian, Chinese, North Indian, North Indian, Chinese, Momos, North Indian, Chinese, Bengali, Desserts, Mughlai, Beverages"
49.0,11.0,422.72727272727275,3.5,"South Indian, North Indian, Chinese, Fast Food, Beverages, North Indian, Chinese, Fast Food, Beverages, Desserts, Mughlai, Fast Food, Beverages, Desserts, Street Food, Pizza, Fast Food, Desserts, Beverages, Fast Food, Beverages, Street Food, Pizza, Pasta, Rolls, Beverages, Fast Food, Desserts, North Indian, Chinese, Mughlai, Rolls, Chinese, Biryani, Kerala, South Indian, Kerala, Fast Food"
50.0,0.0,,,
51.0,0.0,,,
52.0,0.0,,,
53.0,0.0,,,
54.0,0.0,,,
55.0,0.0,,,
56.0,0.0,,,
57.0,17.0,535.2941176470588,3.7294117647058824,"Andhra, North Indian, Continental, Chinese, Beverages, Desserts, Finger Food, North Indian, Chinese, Mughlai, Fast Food, Bakery, Desserts, Lebanese, Fast Food, Beverages, Chinese, Fast Food, Beverages, South Indian, Chinese, Seafood, North Indian, Chinese, Biryani, Andhra, Mughlai, Seafood, Biryani, Kebab, Tamil, Fast Food, North Indian, Chinese, Fast Food, Beverages, Street Food, North Indian, Chinese, Rajasthani, Desserts, Beverages, North Indian, Chinese, Rolls, Biryani, North Indian, Chinese, Mangalorean, Seafood, North Indian, Chinese, Mughlai, Kebab, Seafood, North Indian, Mughlai, North Indian, Street Food, Chinese, Fast Food, Mughlai, Desserts, Beverages"
58.0,17.0,455.88235294117646,3.8117647058823527,"North Indian, South Indian, Continental, Asian, Desserts, Beverages, Mithai, Street Food, Desserts, North Indian, Fast Food, Chinese, Desserts, Beverages, North Indian, Chinese, Italian, Fast Food, Mughlai, Seafood, Biryani, Beverages, South Indian, Kerala, Chinese, Fast Food, Beverages, Chinese, South Indian, Chinese, North Indian, Biryani, South Indian, Cafe, Pizza, Fast Food, North Indian, Beverages, Bakery, South Indian, Mangalorean, Biryani, North Indian, South Indian, Chinese, North Indian, Fast Food, Sandwich, Healthy Food, Beverages, Biryani, South Indian"
59.0,13.0,461.53846153846155,3.6923076923076925,"Fast Food, Continental, Italian, Beverages, Fast Food, Wraps, Beverages, Chinese, Continental, North Indian, Mughlai, Desserts, Beverages, Burger, Fast Food, Beverages, Desserts, Tibetan, Chinese, Fast Food, Desserts, Bengali, Chinese, North Indian, Pizza, Fast Food, Beverages, North Indian, Chinese, Street Food, Sandwich, Fast Food, Fast Food, Beverages, North Indian, Chinese, Andhra, Biryani, Desserts, Beverages, South Indian, North Indian, Chinese, Andhra"
